timestamp,cpu_burstable,cpu_regular,weight,arrival_rate,predicted_burstable,predicted_regular,current_burstable,current_regular
1.62145E+12,0.642915725,0,0.400000006,515,2,1,2,1
1.62145E+12,0.659740312,0,0.400000006,465,2,1,2,1
1.62145E+12,0.658551431,0,0.400000006,560,2,1,2,1
1.62145E+12,0.641505646,0,0.400000006,580,2,1,2,1
1.62145E+12,0.485301902,0,0.400000006,630,2,1,2,1
1.62145E+12,0.643893393,0,0.400000006,695,2,1,2,1
1.62145E+12,0.645270881,0,0.400000006,642,2,1,2,1
1.62145E+12,0.647447502,0,0.400000006,650,2,1,2,1
1.62145E+12,0.646056521,0,0.400000006,705,2,1,2,1
1.62145E+12,0.650799771,0,0.400000006,563,2,1,2,1
1.62145E+12,0.635655032,0,0.400000006,560,2,1,2,1
1.62145E+12,0.646332869,0,0.400000006,713,2,1,2,1
1.62145E+12,0.660053063,0,0.400000006,750,2,1,2,1
1.62145E+12,0.637348257,0,0.400000006,630,2,1,2,1
1.62145E+12,0.660969612,0,0.400000006,700,2,1,2,1
1.62145E+12,0.74810224,0,0.400000006,565,2,1,2,1
1.62145E+12,0.792434291,0,0.400000006,841,2,1,2,1
1.62145E+12,0.845378753,0,0.400000006,695,2,1,2,1
1.62145E+12,0.84956929,0,0.400000006,760,2,1,2,1
1.62145E+12,0.898942729,0,0.400000006,860,2,1,2,1
1.62145E+12,0.930784132,0,0.400000006,925,2,1,2,1
1.62145E+12,0.950771761,0,0.400000006,1005,4,2,2,1
1.62145E+12,1,0,1,1120,4,2,4,1
1.62145E+12,1,0,1,1095,4,2,4,1
1.62145E+12,0.723996903,0,1,1125,4,2,4,1
1.62145E+12,1,0,0.400000006,1170,4,2,4,1
1.62145E+12,0.806930512,0,0.400000006,1460,4,2,4,1
1.62145E+12,0.814732084,0,0.400000006,1445,4,2,4,1
1.62145E+12,0.66499295,0,0.400000006,1415,4,2,4,1
1.62145E+12,0.691065451,0,0.400000006,1350,4,2,4,1
1.62145E+12,0.694032733,0,0.400000006,1200,4,2,4,1
1.62145E+12,0.701403883,0,0.400000006,1430,4,2,4,1
1.62145E+12,0.743999973,0,0.400000006,1290,4,2,4,1
1.62145E+12,0.74928875,0,0.400000006,1435,4,2,4,1
1.62145E+12,0.767351313,0,0.400000006,1433,4,2,4,1
1.62145E+12,0.787835468,0,0.400000006,1420,4,2,4,1
1.62146E+12,0.792562046,0,0.400000006,1348,4,2,4,1
1.62146E+12,0.836696812,0,0.400000006,1837,4,2,4,1
1.62146E+12,0.834068272,0,0.400000006,1810,4,2,4,1
1.62146E+12,0.851486305,0,0.400000006,1656,4,2,4,1
1.62146E+12,0.875547304,0,0.400000006,1638,4,2,4,1
1.62146E+12,0.888183513,0,0.400000006,1654,4,2,4,1
1.62146E+12,0.911238717,0,0.400000006,1645,4,2,4,1
1.62146E+12,0.926640223,0,0.400000006,1861,4,2,4,1
1.62146E+12,0.937298634,0,0.400000006,1730,4,2,4,1
1.62146E+12,0.963691367,0,0.400000006,1697,4,2,4,1
1.62146E+12,0.972936279,0,0.400000006,2013,5,3,4,1
1.62146E+12,1,0,1,2246,5,3,5,1
1.62146E+12,1,0,0.400000006,1962,4,2,5,1
1.62146E+12,0.90646106,0,0.400000006,2013,5,3,5,1
1.62146E+12,0.965674753,0,0.400000006,1714,4,2,5,1
1.62146E+12,0.894481641,0,0.400000006,2271,5,3,5,1
1.62146E+12,0.898885828,0,0.400000006,2160,5,3,5,1
1.62146E+12,0.903870563,0,0.400000006,2365,5,3,5,1
1.62146E+12,0.933969398,0,0.400000006,2040,5,3,5,1
1.62146E+12,0.931680163,0,0.400000006,2490,5,3,5,1
1.62146E+12,0.953328648,0,0.400000006,2450,5,3,5,1
1.62146E+12,0.962959853,0,0.400000006,2110,5,3,5,1
1.62146E+12,0.971724024,0,0.400000006,2702,5,3,5,1
1.62146E+12,0.986712616,0,0.400000006,2343,5,3,5,1
1.62146E+12,1,0,0.400000006,2740,5,3,5,1
1.62146E+12,1,0,0.400000006,2716,5,3,5,1
1.62146E+12,0.98678779,0,0.400000006,2493,5,3,5,1
1.62146E+12,0.983148741,0,0.400000006,2629,5,3,5,1
1.62146E+12,0.992757061,0,0.400000006,2375,5,3,5,1
1.62146E+12,0.99836087,0,0.400000006,2844,5,3,5,1
1.62146E+12,1,0,0.400000006,2742,5,3,5,1
1.62146E+12,1,0,0.400000006,2571,5,3,5,1
1.62146E+12,1,0,0.400000006,3210,7,4,5,1
1.62146E+12,1,0,1,2621,5,3,7,1
1.62146E+12,1,0,0.400000006,2817,5,3,7,1
1.62146E+12,1,0,0.400000006,2647,5,3,7,1
1.62146E+12,1,0,0.400000006,2955,5,3,7,1
1.62146E+12,0.964372585,0,0.400000006,3212,7,4,7,1
1.62146E+12,0.981245998,0,1,3121,7,4,7,1
1.62146E+12,0.982802595,0,0.400000006,2979,5,3,7,1
1.62146E+12,0.972881295,0,0.400000006,3015,7,4,7,1
1.62146E+12,0.937327959,0,0.400000006,3060,7,4,7,1
1.62146E+12,0.906745026,0,0.400000006,3269,7,4,7,1
1.62146E+12,0.905067492,0,0.400000006,2975,5,3,7,1
1.62146E+12,0.90998032,0,0.400000006,3398,7,4,7,1
1.62146E+12,0.923563406,0,0.400000006,3153,7,4,7,1
1.62146E+12,0.930018954,0,0.400000006,3487,7,4,7,1
1.62146E+12,0.940684198,0,0.400000006,3259,7,4,7,1
1.62146E+12,0.957873965,0,0.400000006,3353,7,4,7,1
1.62146E+12,0.957195102,0,0.400000006,3481,7,4,7,1
1.62146E+12,0.960000046,0,0.400000006,3656,7,4,7,1
1.62146E+12,0.978243184,0,0.400000006,3161,7,4,7,1
1.62146E+12,0.958622928,0,0.400000006,3387,7,4,7,1
1.62146E+12,0.951732068,0,0.400000006,3615,7,4,7,1
1.62146E+12,0.938384306,0,0.400000006,4050,8,5,7,1
1.62146E+12,0.956249469,0,1,3940,7,4,8,1
1.62146E+12,0.969195923,0,0.400000006,3635,7,4,8,1
1.62146E+12,0.968202249,0,0.400000006,3785,7,4,8,1
1.62146E+12,0.941596314,0,0.400000006,3695,7,4,8,1
1.62146E+12,0.905091889,0,0.400000006,4250,8,5,8,1
1.62146E+12,0.90215963,0,0.400000006,3765,7,4,8,1
1.62146E+12,0.910038271,0,0.400000006,4085,8,5,8,1
1.62146E+12,0.922082294,0,0.400000006,4029,8,5,8,1
1.62146E+12,0.920510627,0,0.400000006,4225,8,5,8,1
1.62146E+12,0.922714013,0,0.400000006,3885,7,4,8,1
1.62146E+12,0.935986798,0,0.400000006,3935,7,4,8,1
1.62146E+12,0.955172909,0,0.400000006,4286,8,5,8,1
1.62146E+12,0.956387445,0,0.400000006,3970,7,4,8,1
1.62146E+12,0.959049658,0,0.400000006,4543,8,5,8,1
1.62146E+12,0.931256934,0,0.400000006,4293,8,5,8,1
1.62146E+12,0.937058142,0,0.400000006,4615,8,5,8,1
1.62146E+12,0.941673084,0,0.400000006,4023,8,5,8,1
1.62146E+12,0.936609343,0,0.400000006,4340,8,5,8,1
1.62146E+12,0.949412948,0,0.400000006,5004,8,6,8,1
1.62146E+12,0.955911629,0,0.400000006,4489,8,5,8,1
1.62146E+12,0.966134509,0,0.400000006,4037,8,5,8,1
